Chrom (mm10),Start (mm10),End (mm10),Assembly (original),Chrom (original),Start (original),End (original),VISTA identifier,Limb-activity,Considered in ML
chr1,5021600,5024300,mm9,chr1,5011681,5014381,mm912,negative,yes
chr1,6729233,6730318,hg19,chr8,53166730,53167836,hs698,negative,yes
chr1,11026040,11028544,mm9,chr1,11016121,11018625,mm663,negative,yes
chr1,12614812,12617322,mm9,chr1,12604893,12607403,mm664,negative,yes
chr1,13003747,13006556,mm9,chr1,12993828,12996637,mm1342,negative,yes
chr1,18388786,18390258,hg19,chr6,50126514,50127963,hs942,negative,yes
chr1,18955282,18957504,hg19,chr6,50552252,50554393,hs787,negative,yes
chr1,19106734,19107712,hg19,chr6,50685244,50686237,hs865,negative,yes
chr1,19557948,19558842,hg19,chr6,51076205,51077209,hs216,negative,yes
chr1,19699458,19700530,hg19,chr6,51148668,51149710,hs217,negative,yes
chr1,20106392,20107514,hg19,chr6,51515894,51517015,hs538,negative,yes
chr1,20919958,20922635,hg19,chr6,52253728,52256212,hs2064,negative,yes
chr1,31101599,31104444,mm9,chr1,31158444,31161289,mm1357,negative,yes
chr1,33989736,33992240,mm9,chr1,34046581,34049085,mm665,negative,yes
chr1,38196744,38201861,mm9,chr1,38253589,38258706,mm1306,negative,yes
chr1,39441763,39444709,hg19,chr2,101726098,101729492,hs1933,negative,yes
chr1,39945610,39950472,mm9,chr1,40002455,40007317,mm1333,negative,yes
chr1,40942806,40944270,hg19,chr2,103538361,103539868,hs1212,negative,yes
chr1,40954286,40955586,hg19,chr2,103548426,103549712,hs1125,negative,yes
chr1,40967280,40968275,hg19,chr2,103559966,103560972,hs810,negative,yes
chr1,41143600,41146576,hg19,chr2,103768696,103772482,hs1581,negative,yes
chr1,41165839,41167312,hg19,chr2,103792328,103793819,hs1093,negative,yes
chr1,41274880,41276860,hg19,chr2,103909358,103911221,hs1112,positive,yes
chr1,41388600,41391399,hg19,chr2,104016646,104019824,hs1555,negative,yes
chr1,41426651,41428589,hg19,chr2,104060734,104062561,hs958,negative,yes
chr1,41429480,41432117,hg19,chr2,104063598,104065812,hs977,negative,yes
chr1,41558535,41559896,hg19,chr2,104285458,104286792,hs1147,negative,yes
chr1,41603695,41607210,hg19,chr2,104353933,104357342,hs1526,negative,yes
chr1,41810882,41811922,hg19,chr2,104576225,104577270,hs1126,negative,yes
chr1,41812941,41815356,hg19,chr2,104578156,104580488,hs1529,negative,yes
chr1,41896304,41898180,hg19,chr2,104648312,104650249,hs1140,negative,yes
chr1,41917498,41920605,hg19,chr2,104667872,104670648,hs1303,negative,yes
chr1,41935262,41937041,hg19,chr2,104686690,104688638,hs1554,negative,yes
chr1,41981433,41982259,hg19,chr2,104736518,104737365,hs401,negative,yes
chr1,42242415,42244647,hg19,chr2,105032493,105034445,hs1131,negative,yes
chr1,42255267,42258543,hg19,chr2,105044282,105047512,hs1534,negative,yes
chr1,42258657,42259850,hg19,chr2,105047627,105048798,hs960,negative,yes
chr1,42365768,42366767,hg19,chr2,105132815,105133830,hs702,negative,yes
chr1,42423142,42424011,hg19,chr2,105187861,105188859,hs938,negative,yes
chr1,42471587,42473853,hg19,chr2,105254095,105256398,hs584,negative,yes
chr1,42521380,42523862,hg19,chr2,105300344,105301657,hs1177,negative,yes
chr1,42538720,42541030,hg19,chr2,105317580,105319856,hs969,negative,yes
chr1,42678245,42679419,hg19,chr2,105452973,105454169,hs1121,negative,yes
chr1,42690175,42692711,hg19,chr2,105464986,105467538,hs1553,negative,yes
chr1,42740655,42742396,hg19,chr2,105516737,105518490,hs990,negative,yes
chr1,42888323,42889246,hg19,chr2,105697211,105698158,hs868,negative,yes
chr1,52079533,52080137,mm9,chr1,52136377,52136981,mm1,negative,yes
chr1,54904981,54908576,mm9,chr1,54961825,54965420,mm711,negative,yes
chr1,55947134,55948986,hg19,chr2,199226864,199228567,hs1253,negative,yes
chr1,56286330,56287543,mm9,chr1,56343174,56344387,mm613,negative,yes
chr1,56403047,56404314,hg19,chr2,199681972,199683281,hs950,negative,yes
